TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
3822,98,74,6,0.957,0.075,0.975,0.525,0.057692307692307696,0.06521739130434782,0.687531887755102,0.04738310817802133,0.5,0.02,8,lgb,lgb_weight
3800,120,74,6,0.9515,0.075,0.9693877551020408,0.5221938775510204,0.047619047619047616,0.058252427184466014,0.6918781887755101,0.055596378731064176,0.5,0.02,8,lgb,lgb_focal
2666,1254,28,52,0.6795,0.65,0.6801020408163265,0.6650510204081632,0.039816232771822356,0.07503607503607504,0.7030644132653061,0.04381958280942617,0.0025758088012287766,0.02,8,lgb,lgb_threshold
2934,986,26,54,0.747,0.675,0.7484693877551021,0.7117346938775511,0.051923076923076926,0.09642857142857142,0.7660554846938776,0.07065794052441164,0.5,0.02,9,logreg,focal
3915,5,80,0,0.97875,0.0,0.9987244897959183,0.49936224489795916,0.0,0.0,0.7052008928571429,0.05054561195086942,0.5,0.02,9,lgb,lgb_default
3826,94,72,8,0.9585,0.1,0.9760204081632653,0.5380102040816327,0.0784313725490196,0.0879120879120879,0.6992474489795919,0.04346955074833235,0.5,0.02,9,lgb,lgb_weight
3805,115,74,6,0.95275,0.075,0.9706632653061225,0.5228316326530612,0.049586776859504134,0.05970149253731343,0.7158099489795918,0.04631027237163218,0.5,0.02,9,lgb,lgb_focal
3054,866,39,41,0.77375,0.5125,0.7790816326530612,0.6457908163265306,0.04520396912899669,0.08308004052684903,0.7052008928571429,0.05054561195086942,0.0061187454978630235,0.02,9,lgb,lgb_threshold
2870,930,59,141,0.75275,0.705,0.7552631578947369,0.7301315789473684,0.13165266106442577,0.22187254130605824,0.8299539473684211,0.22688077729252001,0.5,0.05,0,logreg,focal
3779,21,184,16,0.94875,0.08,0.9944736842105263,0.5372368421052631,0.43243243243243246,0.13502109704641352,0.7823046052631578,0.20507107155451648,0.5,0.05,0,lgb,lgb_default
3470,330,129,71,0.88525,0.355,0.9131578947368421,0.634078947368421,0.1770573566084788,0.2362728785357737,0.7565217105263158,0.1935056606005744,0.5,0.05,0,lgb,lgb_weight
3472,328,125,75,0.88675,0.375,0.9136842105263158,0.6443421052631579,0.18610421836228289,0.24875621890547267,0.756391447368421,0.1893280921837594,0.5,0.05,0,lgb,lgb_focal
2713,1087,57,143,0.714,0.715,0.7139473684210527,0.7144736842105264,0.11626016260162601,0.2,0.7823046052631578,0.20507107155451648,0.026144882434105315,0.05,0,lgb,lgb_threshold
2858,942,45,155,0.75325,0.775,0.7521052631578947,0.7635526315789474,0.14129443938012762,0.2390131071703932,0.8385605263157895,0.24929545680687798,0.5,0.05,1,logreg,focal
3770,30,192,8,0.9445,0.04,0.9921052631578947,0.5160526315789473,0.21052631578947367,0.06722689075630253,0.7843684210526316,0.16410941157409112,0.5,0.05,1,lgb,lgb_default
3458,342,131,69,0.88175,0.345,0.91,0.6275,0.1678832116788321,0.22585924713584285,0.7737105263157895,0.14913447911724118,0.5,0.05,1,lgb,lgb_weight
3418,382,127,73,0.87275,0.365,0.8994736842105263,0.6322368421052631,0.16043956043956045,0.22290076335877865,0.7697210526315789,0.166023061313392,0.5,0.05,1,lgb,lgb_focal
2692,1108,57,143,0.70875,0.715,0.708421052631579,0.7117105263157895,0.11430855315747403,0.19710544452102002,0.7843684210526316,0.16410941157409112,0.025147218670159392,0.05,1,lgb,lgb_threshold
2813,987,37,163,0.744,0.815,0.7402631578947368,0.7776315789473685,0.14173913043478262,0.2414814814814815,0.8532269736842104,0.2596618412208149,0.5,0.05,2,logreg,focal
3777,23,185,15,0.948,0.075,0.9939473684210526,0.5344736842105263,0.39473684210526316,0.12605042016806722,0.8286493421052632,0.2245087542360143,0.5,0.05,2,lgb,lgb_default
