TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,dataset,prevalence,seed,model,strategy
2735,1185,28,52,0.69675,0.65,0.6977040816326531,0.6738520408163265,0.04203718674211803,0.07896735003796508,0.7198309948979592,0.051100149832200265,0.5,cardio,0.02,3,hgb,undersample
3843,77,68,12,0.96375,0.15,0.9803571428571428,0.5651785714285714,0.1348314606741573,0.1420118343195266,0.7204416454081632,0.06603220366547309,0.5,cardio,0.02,3,hgb,smote
2644,1276,25,55,0.67475,0.6875,0.6744897959183673,0.6809948979591837,0.04132231404958678,0.07795889440113396,0.7551578443877551,0.06249615836762848,0.01244495110864532,cardio,0.02,3,hgb,threshold
3111,809,34,46,0.78925,0.575,0.7936224489795919,0.684311224489796,0.05380116959064327,0.09839572192513368,0.7423007015306122,0.06284756137048335,0.4504621003081674,cardio,0.02,3,hgb,weight+threshold
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7813105867346939,0.09575292766888864,0.5,cardio,0.02,4,logreg,default
2969,951,26,54,0.75575,0.675,0.7573979591836735,0.7161989795918368,0.05373134328358209,0.09953917050691245,0.778858418367347,0.09669589453752385,0.5,cardio,0.02,4,logreg,weight
2800,1120,26,54,0.7135,0.675,0.7142857142857143,0.6946428571428571,0.04599659284497445,0.08612440191387559,0.7674362244897959,0.09209900750933002,0.5,cardio,0.02,4,logreg,undersample
2897,1023,25,55,0.738,0.6875,0.739030612244898,0.713265306122449,0.05102040816326531,0.09499136442141626,0.7764253826530612,0.09977547314349258,0.5,cardio,0.02,4,logreg,smote
2886,1034,23,57,0.73575,0.7125,0.7362244897959184,0.7243622448979592,0.05224564619615032,0.09735269000853969,0.7813105867346939,0.09575292766888864,0.020570575792125765,cardio,0.02,4,logreg,threshold
2866,1054,25,55,0.73025,0.6875,0.7311224489795919,0.7093112244897959,0.04959422903516682,0.09251471825063078,0.778858418367347,0.09669589453752385,0.4825657275488277,cardio,0.02,4,logreg,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7121428571428572,0.06852950636740149,0.5,cardio,0.02,4,rf,default
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7057238520408162,0.06031355025732488,0.5,cardio,0.02,4,rf,weight
2717,1203,22,58,0.69375,0.725,0.6931122448979592,0.7090561224489795,0.045995241871530534,0.08650260999254289,0.7586814413265306,0.08216898725492455,0.5,cardio,0.02,4,rf,undersample
3826,94,73,7,0.95825,0.0875,0.9760204081632653,0.5317602040816326,0.06930693069306931,0.07734806629834254,0.7019945790816327,0.04998216294226049,0.5,cardio,0.02,4,rf,smote
2842,1078,32,48,0.7225,0.6,0.725,0.6625,0.04262877442273535,0.07960199004975124,0.7121428571428572,0.06852950636740149,0.02,cardio,0.02,4,rf,threshold
2962,958,33,47,0.75225,0.5875,0.7556122448979592,0.6715561224489797,0.046766169154228855,0.08663594470046083,0.7057238520408162,0.06031355025732488,0.02,cardio,0.02,4,rf,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7548501275510204,0.0917014468450618,0.5,cardio,0.02,4,hgb,default
3217,703,34,46,0.81575,0.575,0.8206632653061224,0.6978316326530611,0.06141522029372497,0.11097708082026539,0.7499218750000001,0.06672752598295856,0.5,cardio,0.02,4,hgb,weight
2600,1320,22,58,0.6645,0.725,0.6632653061224489,0.6941326530612244,0.0420899854862119,0.07956104252400549,0.7373820153061225,0.07034906126278404,0.5,cardio,0.02,4,hgb,undersample
3820,100,70,10,0.9575,0.125,0.9744897959183674,0.5497448979591837,0.09090909090909091,0.10526315789473685,0.6460108418367347,0.0490098087489413,0.5,cardio,0.02,4,hgb,smote
2760,1160,26,54,0.7035,0.675,0.7040816326530612,0.6895408163265306,0.044481054365733116,0.08346213292117466,0.7548501275510204,0.0917014468450618,0.01462027580063141,cardio,0.02,4,hgb,threshold
2616,1304,25,55,0.66775,0.6875,0.6673469387755102,0.6774234693877551,0.04047093451066961,0.07644197359277276,0.7499218750000001,0.06672752598295856,0.31954051783036574,cardio,0.02,4,hgb,weight+threshold
3557,43,374,26,0.89575,0.065,0.9880555555555556,0.5265277777777778,0.37681159420289856,0.11087420042643924,0.7863666666666667,0.2816131580612672,0.5,cardio,0.1,0,logreg,default
2770,830,131,269,0.75975,0.6725,0.7694444444444445,0.7209722222222222,0.24476797088262056,0.3589059372915277,0.786127777777778,0.28055544373685887,0.5,cardio,0.1,0,logreg,weight
2729,871,121,279,0.752,0.6975,0.7580555555555556,0.7277777777777779,0.2426086956521739,0.36000000000000004,0.7848555555555555,0.27763746232605907,0.5,cardio,0.1,0,logreg,undersample
2749,851,130,270,0.75475,0.675,0.7636111111111111,0.7193055555555556,0.2408563782337199,0.35502958579881655,0.7855159722222221,0.2809453559039812,0.5,cardio,0.1,0,logreg,smote
2739,861,128,272,0.75275,0.68,0.7608333333333334,0.7204166666666667,0.24007060900264784,0.3548597521200261,0.7863666666666667,0.2816131580612672,0.09932796692013302,cardio,0.1,0,logreg,threshold
2691,909,122,278,0.74225,0.695,0.7475,0.72125,0.2342038753159225,0.350346565847511,0.786127777777778,0.28055544373685887,0.48301313985176764,cardio,0.1,0,logreg,weight+threshold
3523,77,372,28,0.88775,0.07,0.9786111111111111,0.5243055555555556,0.26666666666666666,0.11089108910891089,0.735685763888889,0.23855524899812452,0.5,cardio,0.1,0,rf,default
3542,58,371,29,0.89275,0.0725,0.9838888888888889,0.5281944444444444,0.3333333333333333,0.1190965092402464,0.7357701388888889,0.24465249400064967,0.5,cardio,0.1,0,rf,weight
2526,1074,124,276,0.7005,0.69,0.7016666666666667,0.6958333333333333,0.20444444444444446,0.31542857142857145,0.7493770833333334,0.25554763644333756,0.5,cardio,0.1,0,rf,undersample
3280,320,273,127,0.85175,0.3175,0.9111111111111111,0.6143055555555555,0.2841163310961969,0.29988193624557263,0.7215559027777778,0.2205730883151313,0.5,cardio,0.1,0,rf,smote
2874,726,171,229,0.77575,0.5725,0.7983333333333333,0.6854166666666667,0.23979057591623038,0.3380073800738007,0.735685763888889,0.23855524899812452,0.15333333333333332,cardio,0.1,0,rf,threshold
2700,900,151,249,0.73725,0.6225,0.75,0.68625,0.21671018276762402,0.32149774047772756,0.7357701388888889,0.24465249400064967,0.11,cardio,0.1,0,rf,weight+threshold
3586,14,392,8,0.8985,0.02,0.9961111111111111,0.5080555555555555,0.36363636363636365,0.03791469194312796,0.7798461805555554,0.27766070735643866,0.5,cardio,0.1,0,hgb,default
2820,780,145,255,0.76875,0.6375,0.7833333333333333,0.7104166666666667,0.2463768115942029,0.3554006968641115,0.7791208333333333,0.2775078254303621,0.5,cardio,0.1,0,hgb,weight
2553,1047,132,268,0.70525,0.67,0.7091666666666666,0.6895833333333333,0.20380228136882128,0.31253644314868806,0.7558916666666669,0.25547359127495395,0.5,cardio,0.1,0,hgb,undersample
3329,271,265,135,0.866,0.3375,0.9247222222222222,0.6311111111111112,0.33251231527093594,0.3349875930521092,0.7606375000000001,0.252896521346804,0.5,cardio,0.1,0,hgb,smote
3029,571,172,228,0.81425,0.57,0.8413888888888889,0.7056944444444444,0.2853566958698373,0.3803169307756464,0.7798461805555554,0.27766070735643866,0.14851240049107384,cardio,0.1,0,hgb,threshold
2920,680,157,243,0.79075,0.6075,0.8111111111111111,0.7093055555555556,0.26327193932827736,0.3673469387755102,0.7791208333333333,0.2775078254303621,0.5294277550723616,cardio,0.1,0,hgb,weight+threshold
3554,46,369,31,0.89625,0.0775,0.9872222222222222,0.5323611111111111,0.4025974025974026,0.129979035639413,0.7833937500000001,0.297326480984274,0.5,cardio,0.1,1,logreg,default
2791,809,137,263,0.7635,0.6575,0.7752777777777777,0.7163888888888889,0.2453358208955224,0.35733695652173914,0.7828111111111111,0.2967547029259748,0.5,cardio,0.1,1,logreg,weight
2752,848,135,265,0.75425,0.6625,0.7644444444444445,0.7134722222222223,0.23809523809523808,0.35029742233972244,0.7824395833333333,0.29444875062727094,0.5,cardio,0.1,1,logreg,undersample
2790,810,141,259,0.76225,0.6475,0.775,0.7112499999999999,0.2422825070159027,0.35262083049693665,0.7815256944444445,0.295298570383409,0.5,cardio,0.1,1,logreg,smote
2916,684,152,248,0.791,0.62,0.81,0.7150000000000001,0.26609442060085836,0.37237237237237236,0.7833937500000001,0.297326480984274,0.10986142649131787,cardio,0.1,1,logreg,threshold
2985,615,159,241,0.8065,0.6025,0.8291666666666667,0.7158333333333333,0.28154205607476634,0.3837579617834395,0.7828111111111111,0.2967547029259748,0.5464913963424866,cardio,0.1,1,logreg,weight+threshold
3538,62,369,31,0.89225,0.0775,0.9827777777777778,0.5301388888888888,0.3333333333333333,0.1257606490872211,0.7555288194444444,0.27122279033887553,0.5,cardio,0.1,1,rf,default
3557,43,373,27,0.896,0.0675,0.9880555555555556,0.5277777777777778,0.38571428571428573,0.1148936170212766,0.7499451388888889,0.26215000533599375,0.5,cardio,0.1,1,rf,weight
2618,982,136,264,0.7205,0.66,0.7272222222222222,0.6936111111111112,0.21187800963081863,0.3207776427703524,0.7643097222222223,0.2848728611696355,0.5,cardio,0.1,1,rf,undersample
3306,294,283,117,0.85575,0.2925,0.9183333333333333,0.6054166666666667,0.2846715328467153,0.2885326757090012,0.7350961805555555,0.22575904655121032,0.5,cardio,0.1,1,rf,smote
2750,850,145,255,0.75125,0.6375,0.7638888888888888,0.7006944444444444,0.23076923076923078,0.3388704318936877,0.7555288194444444,0.27122279033887553,0.12333333333333334,cardio,0.1,1,rf,threshold
2791,809,159,241,0.758,0.6025,0.7752777777777777,0.6888888888888889,0.22952380952380952,0.33241379310344826,0.7499451388888889,0.26215000533599375,0.12333333333333334,cardio,0.1,1,rf,weight+threshold
3586,14,389,11,0.89925,0.0275,0.9961111111111111,0.5118055555555555,0.44,0.051764705882352935,0.7780472222222222,0.29812651667415996,0.5,cardio,0.1,1,hgb,default
2820,780,147,253,0.76825,0.6325,0.7833333333333333,0.7079166666666666,0.24491771539206195,0.3531053733426378,0.771451388888889,0.3023977280495705,0.5,cardio,0.1,1,hgb,weight
2722,878,135,265,0.74675,0.6625,0.7561111111111111,0.7093055555555555,0.23184601924759404,0.34348671419313026,0.7662256944444444,0.28663274713456016,0.5,cardio,0.1,1,hgb,undersample
