TN,FP,FN,TP,accuracy,sensitivity,specificity,balanced_acc,precision,f1_pos,roc_auc,pr_auc,threshold,prevalence,seed,model,strategy
2955,965,25,55,0.7525,0.6875,0.7538265306122449,0.7206632653061225,0.05392156862745098,0.09999999999999999,0.807592474489796,0.09812310602780995,0.5,0.02,1,logreg,smote
3001,919,21,59,0.765,0.7375,0.7655612244897959,0.7515306122448979,0.06032719836400818,0.111531190926276,0.8213233418367348,0.10359001070739571,0.02189969575161928,0.02,1,logreg,threshold
3030,890,22,58,0.772,0.725,0.7729591836734694,0.7489795918367347,0.06118143459915612,0.11284046692607003,0.8166326530612245,0.10924905713178878,0.5347786863706967,0.02,1,logreg,weight+threshold
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7638089923469388,0.07315803074699652,0.5,0.02,1,rf,default
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7644499362244899,0.0808499805140061,0.5,0.02,1,rf,weight
2642,1278,15,65,0.67675,0.8125,0.6739795918367347,0.7432397959183674,0.04839910647803425,0.09135628952916373,0.7865880102040816,0.08809183594167798,0.5,0.02,1,rf,undersample
3905,15,78,2,0.97675,0.025,0.9961734693877551,0.5105867346938775,0.11764705882352941,0.041237113402061855,0.7563313137755101,0.06496597079553769,0.5,0.02,1,rf,smote
2416,1504,19,61,0.61925,0.7625,0.6163265306122448,0.6894132653061225,0.038977635782747606,0.07416413373860183,0.7638089923469388,0.07315803074699652,0.01,0.02,1,rf,threshold
2796,1124,25,55,0.71275,0.6875,0.713265306122449,0.7003826530612245,0.04664970313825276,0.08737092930897537,0.7644499362244899,0.0808499805140061,0.016666666666666666,0.02,1,rf,weight+threshold
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.7721061862244898,0.06895675299341006,0.5,0.02,1,hgb,default
3326,594,39,41,0.84175,0.5125,0.8484693877551021,0.6804846938775511,0.06456692913385827,0.11468531468531468,0.7690497448979592,0.07653751380009385,0.5,0.02,1,hgb,weight
2731,1189,17,63,0.6985,0.7875,0.6966836734693878,0.7420918367346938,0.050319488817891375,0.0945945945945946,0.790172193877551,0.09604089918011974,0.5,0.02,1,hgb,undersample
3903,17,78,2,0.97625,0.025,0.9956632653061225,0.5103316326530613,0.10526315789473684,0.04040404040404041,0.7589508928571429,0.05824176627811597,0.5,0.02,1,hgb,smote
2992,928,32,48,0.76,0.6,0.763265306122449,0.6816326530612244,0.04918032786885246,0.09090909090909091,0.7721061862244898,0.06895675299341006,0.01665101819215171,0.02,1,hgb,threshold
2638,1282,20,60,0.6745,0.75,0.6729591836734694,0.7114795918367347,0.044709388971684055,0.08438818565400844,0.7690497448979592,0.07653751380009385,0.2768542360813164,0.02,1,hgb,weight+threshold
3919,1,80,0,0.97975,0.0,0.9997448979591836,0.4998724489795918,0.0,0.0,0.8481951530612245,0.1128779738618511,0.5,0.02,2,logreg,default
2850,1070,14,66,0.729,0.825,0.7270408163265306,0.7760204081632653,0.058098591549295774,0.10855263157894737,0.8497927295918368,0.1204939735201679,0.5,0.02,2,logreg,weight
2774,1146,8,72,0.7115,0.9,0.7076530612244898,0.803826530612245,0.059113300492610835,0.11093990755007703,0.8674298469387756,0.1161910906421768,0.5,0.02,2,logreg,undersample
2883,1037,15,65,0.737,0.8125,0.7354591836734694,0.7739795918367347,0.05898366606170599,0.10998307952622674,0.8510172193877551,0.11383108111924818,0.5,0.02,2,logreg,smote
3055,865,21,59,0.7785,0.7375,0.7793367346938775,0.7584183673469388,0.06385281385281386,0.11752988047808766,0.8481951530612245,0.1128779738618511,0.026029049535297447,0.02,2,logreg,threshold
3130,790,21,59,0.79725,0.7375,0.798469387755102,0.767984693877551,0.06949352179034157,0.1270182992465016,0.8497927295918368,0.1204939735201679,0.5904349267822201,0.02,2,logreg,weight+threshold
3920,0,80,0,0.98,0.0,1.0,0.5,0.0,0.0,0.7894786352040817,0.09723406554199641,0.5,0.02,2,rf,default
3918,2,80,0,0.9795,0.0,0.9994897959183674,0.4997448979591837,0.0,0.0,0.7838137755102041,0.09826724851951313,0.5,0.02,2,rf,weight
2610,1310,11,69,0.66975,0.8625,0.6658163265306123,0.7641581632653062,0.05003625815808557,0.0945853324194654,0.8287468112244898,0.09132051224705474,0.5,0.02,2,rf,undersample
3913,7,78,2,0.97875,0.025,0.9982142857142857,0.5116071428571428,0.2222222222222222,0.04494382022471911,0.7619738520408164,0.1045630999089415,0.5,0.02,2,rf,smote
